Onset	Duration	Amplitude	trial_type
25.3099677659804	0	1	rest
40.34131142100087	0	1	left
45.37170757299755	0	1	rest
60.38952004297171	0	1	right
65.49602586396504	0	1	rest
80.51262225599494	0	1	right
85.6026520109619	0	1	rest
100.6195807990036	0	1	left
105.6841034009587	0	1	rest
120.70066551100464	0	1	right
125.7576976140146	0	1	rest
140.7775368869654	0	1	left
145.82027758097973	0	1	rest
160.83646707200677	0	1	left
165.90422322500962	0	1	rest
180.9209920209716	0	1	right
185.9718001169851	0	1	rest
200.99046677896982	0	1	right
206.03357172197428	0	1	rest
221.0498544759932	0	1	left
226.1184262710041	0	1	rest
241.13962587299758	0	1	right
246.2375323719927	0	1	rest
261.25398206599056	0	1	left
266.3249014419736	0	1	rest
281.34160917099797	0	1	right
286.3910902939853	0	1	rest
301.4089675019961	0	1	right
306.5059096739744	0	1	rest
321.52279849098994	0	1	left
326.54830409399	0	1	rest
341.5666301369667	0	1	left
346.63014697299803	0	1	rest
361.6473775239894	0	1	right
366.7491324790055	0	1	rest
381.76658777000847	0	1	left
386.8541325029684	0	1	rest
401.87360398196614	0	1	left
406.927114543959	0	1	rest
421.9450136569678	0	1	right
427.02633107498986	0	1	rest
442.0266429529758	0	1	end
