inhale	12.327496762969531
hold_breath	15.335004033986479
rest	35.36061275197426
inhale	65.37502642499749
hold_breath	68.38487796200207
rest	88.39831238496117
inhale	118.41131536697503
hold_breath	121.42044838500442
rest	141.43335486599244
inhale	171.44683320296463
hold_breath	174.45676854095655
rest	194.4704238199629
inhale	224.48464382096427
hold_breath	227.49439040897414
rest	247.50117875100113
inhale	277.5182787119993
hold_breath	280.52919159899466
rest	300.543447308999
end	330.5443598089623
